STATECODE,COUNTYCODE,SITENUM,PARAMETERCODE,POC,LATITUDE,LONGITUDE,DATUM,PARAMETERNAME,SAMPLEDURATION,POLLUTANTSTANDARD,METRICUSED,METHODNAME,YEAR,UNITSOFMEASURE,EVENTTYPE,OBSERVATIONCOUNT,OBSERVATIONPERCENT,COMPLETENESSINDICATOR,VALIDDAYCOUNT,REQUIREDDAYCOUNT,EXCEPTIONALDATACOUNT,NULLDATACOUNT,PRIMARYEXCEEDANCECOUNT,SECONDARYEXCEEDANCECOUNT,CERTIFICATIONINDICATOR,NUMOBSBELOWMDL,ARITHMETICMEAN,ARITHMETICSTANDARDDEV,1STMAXVALUE,1STMAXDATETIME,2NDMAXVALUE,2NDMAXDATETIME,3RDMAXVALUE,3RDMAXDATETIME,4THMAXVALUE,4THMAXDATETIME,1STMAXNONOVERLAPPINGVALUE,1STNOMAXDATETIME,2NDMAXNONOVERLAPPINGVALUE,2NDNOMAXDATETIME,99THPERCENTILE,98THPERCENTILE,95THPERCENTILE,90THPERCENTILE,75THPERCENTILE,50THPERCENTILE,10THPERCENTILE,LOCALSITENAME,ADDRESS,STATENAME,COUNTYNAME,CITYNAME,CBSANAME,DATEOFLASTCHANGE
06,027,0101,44201,1,,,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1997,Parts per million,Events Included,7976,93,Y,339,365,7976,784,0,0,Certification not required,0,0.052242,0.010831,0.084,1997-06-10 20:00,0.084,1997-06-11 16:00,0.083,1997-06-26 09:00,0.083,1997-08-07 12:00,,,,,0.083,0.078,0.073,0.068,0.059,0.051,0.041,Death Valley NP - Park Village,"DEATH VALLEY NM, DEATH VALLEY, CA",California,Inyo,,"Bishop, CA",2021-03-20
06,027,0101,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,8270,90,Y,330,365,0,0,0,0,Certification not required,0,0.049458,0.00978,0.08,1997-06-11 15:00,0.079,1997-06-10 14:00,0.077,1997-06-15 11:00,0.077,1997-06-27 04:00,,,,,0.077,0.074,0.067,0.063,0.055,0.048,0.039,Death Valley NP - Park Village,"DEATH VALLEY NM, DEATH VALLEY, CA",California,Inyo,,"Bishop, CA",2021-03-20
24,019,9991,44201,9,,,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1997,Parts per million,Events Included,8665,99,Y,212,214,8665,95,0,0,Certification not required,0,0.065854,0.021646,0.123,1997-07-15 18:00,0.122,1997-07-14 15:00,0.12,1997-06-25 16:00,0.115,1997-07-28 14:00,,,,,0.12,0.111,0.106,0.097,0.081,0.063,0.047,Blackwater NWR,"Blackwater National Wildlife Refuge, Cambridge, MD 21613",Maryland,Dorchester,,"Cambridge, MD",2021-03-20
55,085,0004,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,4356,98,Y,180,184,0,0,0,0,Certification not required,0,0.039294,0.012171,0.073,1997-08-09 12:00,0.07,1997-07-11 15:00,0.069,1997-10-03 12:00,0.065,1997-05-23 12:00,,,,,0.07,0.065,0.062,0.055,0.048,0.039,0.025,HARSHAW FARM,"4398 GRACE LANE, HARSHAW",Wisconsin,Oneida,,,2021-03-20
34,021,9991,44201,9,,,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1998,Parts per million,Events Included,8597,97,Y,208,214,8597,163,0,0,Certification not required,0,0.062774,0.022799,0.115,1998-05-16 16:00,0.112,1998-05-29 15:00,0.112,1998-07-16 15:00,0.111,1998-08-22 14:00,,,,,0.112,0.109,0.102,0.098,0.079,0.062,0.043,Wash. Crossing,"Washington Crossing State Park, Titusville, NJ 08560",New Jersey,Mercer,,"Trenton, NJ",2021-03-20
01,043,0003,44201,1,124.19482,-266.85639,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1983,Parts per million,No Events,3594,69,N,191,275,0,0,34,34,Certification not required,0,0.05033,0.021072,0.099,1983-08-17 10:00,0.099,1983-08-21 10:00,0.093,1983-07-11 09:00,0.093,1983-07-13 09:00,,,,,0.099,0.093,0.084,0.079,0.064,0.051,0.027,LDP PARAMETERS ESTIMATED,"CULLMAN FAIRGROUNDS, CULLMAN COUNTY",Alabama,Cullman,Cullman,"Cullman, AL",2020-05-21
01,053,0002,11101,1,121.10657,-267.07108,NAD83,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,52,87,Y,52,60,0,0,,,Certification not required,0,47,15.62301,86,1983-12-08 00:00,76,1983-01-06 00:00,76,1983-07-11 00:00,75,1983-03-25 00:00,,,,,86,76,76,68,56,47,28,BREWTON (CLOSED 12/30/07),BELLVILLE AVE.BREWTON,Alabama,Escambia,Brewton,,2020-05-21
01,055,0003,12113,1,124.01121,-266.05747,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1983,Micrograms/cubic meter (25 C),No Events,26,43,N,26,60,0,0,,,Certification not required,0,0.000396,0.000258,0.0011,1983-11-08 00:00,0.0009,1983-08-16 00:00,0.0009,1983-12-02 00:00,0.0007,1983-10-03 00:00,,,,,0.0011,0.0011,0.0009,0.0009,0.0005,0.0004,0.0002,,WALNUT PARK FIRE STATION,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
01,055,0003,12114,1,124.01121,-266.05747,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1983,Micrograms/cubic meter (25 C),No Events,26,43,N,26,60,0,0,,,Certification not required,0,0.067231,0.029237,0.148,1983-10-03 00:00,0.148,1983-11-20 00:00,0.095,1983-09-21 00:00,0.094,1983-04-30 00:00,,,,,0.148,0.148,0.148,0.095,0.079,0.06,0.042,,WALNUT PARK FIRE STATION,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
01,055,0001,44201,1,123.99982,-266.10748,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1983,Parts per million,No Events,3577,76,Y,208,275,0,0,37,37,Certification not required,0,0.049851,0.020794,0.105,1983-08-20 09:00,0.1,1983-08-21 09:00,0.095,1983-08-22 08:00,0.092,1983-08-18 10:00,,,,,0.095,0.091,0.086,0.079,0.066,0.049,0.023,,ATTALLA COMMUNITY CENTER,Alabama,Etowah,Attalla,"Gadsden, AL",2020-05-21
